src,dst
273,0
273,1
273,4
274,5
274,2
274,0
274,1
274,4
275,5
275,2
275,0
275,1
275,4
276,5
276,2
276,0
276,1
276,4
277,5
277,2
277,0
277,1
277,4
278,5
278,2
278,0
278,1
278,4
279,5
279,2
279,0
279,1
279,4
280,5
280,2
280,0
280,1
280,4
281,5
281,2
281,0
281,1
281,4
282,5
282,2
282,0
282,1
282,4
283,5
283,2
283,0
283,1
283,4
284,5
284,2
284,0
284,1
284,4
285,5
285,2
285,0
285,1
285,4
286,5
286,2
286,0
286,1
286,4
287,5
287,2
287,0
287,1
287,4
288,5
288,2
288,0
288,1
288,4
289,5
289,2
289,0
289,1
289,4
290,5
290,2
290,0
290,1
290,4
291,5
291,2
291,0
291,1
291,4
292,5
292,2
292,0
292,1
292,4
293,5
293,2
293,0
293,1
293,4
294,5
294,2
294,0
294,1
294,4
295,5
295,2
295,0
295,1
295,4
296,5
296,2
296,0
296,1
296,4
297,5
297,2
297,0
297,1
297,4
298,5
298,2
298,0
298,1
298,4
